Index,Circle X,Circle Y,Swipe-startX,Swipe-startY,Swipe-endX,Swipe-endY
1,288.06,314.75,347,356,112,457
2,185.97,464.61,249,533,239,175
Summary
Total Swipes,Total Circles,Success Rate (%)
2,2,100.0
