Index,Circle1 X,Circle1 Y,Circle2 X,Circle2 Y,Start X1,Start Y1,End X1,End Y1,Start X2,Start Y2,End X2,End Y2
1,273.00,212.88,273.00,312.88,318.00,358.00,145.00,483.00,325.00,262.00,141.00,370.00
2,89.36,180.88,89.36,280.88,164.00,220.00,298.00,220.00,169.00,325.00,258.00,349.00
3,98.88,99.43,98.88,199.43,166.00,249.00,46.00,119.00,157.00,155.00,83.00,34.00

Total Swipes,Total Pairs,Success Rate (%)
3,3,100.00
