Circle Index,Circle X,Circle Y,User-startX,User-startY,User-endX,User-endY
1,678.88,12.32,731,62,470,639
2,805.40,170.58,0,0,0,0
3,1049.02,384.04,872,217,582,550
4,533.93,475.42,1098,456,551,603
5,116.31,965.23,588,518,1024,689
6,308.52,842.55,162,1040,642,773
7,886.39,962.69,365,884,841,589
8,497.06,561.80,949,1016,531,671
9,533.55,549.32,555,615,735,527
10,16.48,351.94,562,614,849,548
Total Drags,Total Circles,Success Rate
10,10,100.0
