Index,Circle1 X,Circle1 Y,Circle2 X,Circle2 Y,Start X1,Start Y1,End X1,End Y1,Start X2,Start Y2,End X2,End Y2,Results
1,178.94,210.22,178.94,310.22,232.00,265.00,105.00,54.00,235.00,362.00,66.00,162.00,1
2,273.37,111.23,273.37,211.23,0,0,0,0,0,0,0,0,0
3,246.70,217.02,246.70,317.02,295.00,267.00,139.00,69.00,290.00,365.00,109.00,177.00,1

Total Swipes,Total Pairs,Success Rate (%)
2,3,66.67
