Circle Index,Circle X,Circle Y,User-startX,User-startY,User-endX,User-endY
1,179.55,578.17,211,613,982,796
2,1563.36,173.47,0,0,0,0
3,395.35,1120.75,1586,210,1173,568
4,716.57,870.42,419,1155,483,1161
5,117.01,297.45,741,898,621,628
6,252.76,264.49,134,333,955,808
7,56.58,204.50,285,307,322,458
8,182.67,653.97,0,0,0,0
9,1101.27,821.03,202,685,834,507
10,259.30,466.00,0,0,0,0
Total Drags,Total Circles,Success Rate
8,10,80.0
