Index,Circle X,Circle Y,User-startX,User-startY,User-endX,User-endY
1,287.76,396.15,324,443,663,849
2,254.42,11.62,307,67,397,573
3,219.96,241.19,0,0,0,0

Total Drags,Total Circles,Success Rate (%)
2,3,66.67
