Circle Index,Circle X,Circle Y,User-startX,User-startY,User-endX,User-endY
1,594.92,1421.37,640,1443,826,826
2,874.88,1217.28,0,0,0,0
3,866.98,445.60,896,1253,648,746
4,730.61,435.22,873,479,614,846
5,646.32,241.77,745,476,772,691
6,988.81,1103.45,676,283,745,821
7,1312.70,792.36,996,1131,502,629
8,1454.12,1528.73,1340,835,1459,458
9,961.76,1414.53,1479,1548,1399,1527
10,1508.34,602.29,0,0,0,0
Total Drags,Total Circles,Success Rate
