Circle Index,Circle X,Circle Y,User-startX,User-startY,User-endX,User-endY
1,938.12,605.87,996,639,582,552
2,87.30,394.76,0,0,0,0
3,384.58,339.01,154,461,565,485
4,907.83,821.98,414,383,673,608
5,206.95,62.03,948,850,723,631
6,770.71,59.67,269,100,418,413
7,240.08,224.44,802,119,568,480
8,1010.36,957.54,282,261,463,504
9,917.83,574.88,1039,996,744,846
10,269.19,746.54,944,621,608,517
Total Drags,Total Circles,Success Rate
10,10,100.0
