Circle Index,Circle X,Circle Y,User-startX,User-startY,User-endX,User-endY
1,294.40,881.11,367,919,817,597
2,12.93,280.07,0,0,0,0
3,362.63,543.36,88,351,662,694
4,1202.27,692.80,407,598,724,754
5,1009.31,851.64,1266,747,517,895
6,1113.80,909.97,1043,912,580,526
7,952.87,1123.10,1170,958,584,588
8,1207.22,342.56,1003,1172,422,537
9,1222.15,1046.60,1248,403,631,460
10,144.20,191.95,1256,1090,370,484
Total Drags,Total Circles,Success Rate
9,10,100.0
