Circle Index,Circle X,Circle Y,User-startX,User-startY,User-endX,User-endY
1,1006.06,384.68,1043,413,735,888
2,1473.23,1410.19,0,0,0,0
3,2200.26,518.92,1488,1442,1005,576
4,1761.86,1657.35,2210,547,1037,868
5,1254.09,1307.93,1771,1668,1308,922
6,1941.22,1369.91,1281,1344,732,679
7,714.60,734.28,1964,1402,796,505
8,579.69,1399.88,739,766,782,963
9,1763.24,1343.87,599,1418,1172,515
10,2031.49,1528.98,1790,1367,716,768
Total Clicks,Total Circles,Success Rate
0,10,0.0
