Index,Circle X,Circle Y,User-startX,User-startY,User-endX,User-endY
1,46.44,731.42,132,771,809,590
2,828.94,1088.60,898,1134,679,455

Total Drags,Total Circles,Success Rate (%)
2,2,100.0
