Index,Circle X,Circle Y,User-startX,User-startY,User-endX,User-endY
1,695.89,268.47,762,313,237,652
2,565.74,264.13,632,333,368,702
3,1018.50,690.09,1059,758,426,492
4,577.25,1089.02,624,1123,807,622
5,1049.32,119.54,1087,195,525,637
6,743.52,441.36,810,507,568,703
7,916.56,72.87,966,121,489,578
8,96.17,226.30,138,278,819,549
9,12.02,211.36,86,262,878,595
10,51.23,1219.34,118,1245,628,747
Total Drags,Total Circles,Success Rate (%)
10,10,100.0
